Ardbeg;Islay
Highland Park;Island
Bowmore;Islay
Glenfiddich;Speyside
The Glenlivet;Speyside
Laphroaig;Islay
Lagavulin;Islay
The Macallan;Speyside
Port Ellen;Islay
Talisker;Island
Glen Scotia;Campbeltown
Glenmorangie;Highland
Oban;Highland
Dalwhinnie;Highland
